date_key,calendar_date,day_of_week,day_name,day_of_month,day_of_year,week_of_year,month_number,month_name,quarter_number,year_number,is_weekend,is_bank_holiday,is_business_day
20240101,2024-01-01,2,Monday,1,1,1,1,January,1,2024,false,true,false
20240102,2024-01-02,3,Tuesday,2,2,1,1,January,1,2024,false,false,true
20240103,2024-01-03,4,Wednesday,3,3,1,1,January,1,2024,false,false,true
20240104,2024-01-04,5,Thursday,4,4,1,1,January,1,2024,false,false,true
20240105,2024-01-05,6,Friday,5,5,1,1,January,1,2024,false,false,true
20240106,2024-01-06,7,Saturday,6,6,1,1,January,1,2024,true,false,false
20240107,2024-01-07,1,Sunday,7,7,1,1,January,1,2024,true,false,false
20240108,2024-01-08,2,Monday,8,8,2,1,January,1,2024,false,false,true
20240109,2024-01-09,3,Tuesday,9,9,2,1,January,1,2024,false,false,true
20240110,2024-01-10,4,Wednesday,10,10,2,1,January,1,2024,false,false,true
20240111,2024-01-11,5,Thursday,11,11,2,1,January,1,2024,false,false,true
20240112,2024-01-12,6,Friday,12,12,2,1,January,1,2024,false,false,true
20240113,2024-01-13,7,Saturday,13,13,2,1,January,1,2024,true,false,false
20240114,2024-01-14,1,Sunday,14,14,2,1,January,1,2024,true,false,false
20240115,2024-01-15,2,Monday,15,15,3,1,January,1,2024,false,false,true
20240116,2024-01-16,3,Tuesday,16,16,3,1,January,1,2024,false,false,true
20240117,2024-01-17,4,Wednesday,17,17,3,1,January,1,2024,false,false,true
20240118,2024-01-18,5,Thursday,18,18,3,1,January,1,2024,false,false,true
20240119,2024-01-19,6,Friday,19,19,3,1,January,1,2024,false,false,true
20240120,2024-01-20,7,Saturday,20,20,3,1,January,1,2024,true,false,false
20240121,2024-01-21,1,Sunday,21,21,3,1,January,1,2024,true,false,false
20240122,2024-01-22,2,Monday,22,22,4,1,January,1,2024,false,false,true
20240123,2024-01-23,3,Tuesday,23,23,4,1,January,1,2024,false,false,true
20240124,2024-01-24,4,Wednesday,24,24,4,1,January,1,2024,false,false,true
20240125,2024-01-25,5,Thursday,25,25,4,1,January,1,2024,false,false,true
20240126,2024-01-26,6,Friday,26,26,4,1,January,1,2024,false,false,true
20240127,2024-01-27,7,Saturday,27,27,4,1,January,1,2024,true,false,false
20240128,2024-01-28,1,Sunday,28,28,4,1,January,1,2024,true,false,false
20240129,2024-01-29,2,Monday,29,29,5,1,January,1,2024,false,false,true
20240130,2024-01-30,3,Tuesday,30,30,5,1,January,1,2024,false,false,true
20240131,2024-01-31,4,Wednesday,31,31,5,1,January,1,2024,false,false,true
