counterparty_id,counterparty_name,counterparty_type,country_code,lei,is_sanctions_listed,is_pep
CP001,HSBC Holdings plc,BANK,GB,MLU0ZO3ML4LN2LL2TL39,false,false
CP002,Lloyds Banking Group plc,BANK,GB,549300PPXHEU2JF0AM85,false,false
CP003,Tesco plc,CORPORATE,GB,2138002P5RNKC5W2JZ46,false,false
CP004,Deutsche Bank AG,BANK,DE,7LTWFZYICNSX8D621K86,false,false
CP005,Bank of China Limited,BANK,CN,54930053HGCFWVHYZX42,false,false
CP006,Unknown Entity LLC,INDIVIDUAL,VE,,false,false
CP007,JPMorgan Chase & Co,BANK,US,8I5DZWZKVSZI1NUHU748,false,false
CP008,BNP Paribas SA,BANK,FR,R0MUWSFPU8MPRO8K5P83,false,false
CP009,Standard Chartered plc,BANK,GB,U4LOSYZ7YG4W3S5F2G91,false,false
CP010,Vodafone Group plc,CORPORATE,GB,213800LNPAGWTME5GN50,false,false
CP011,BP plc,CORPORATE,GB,213800LH1BZH3DI6G760,false,false
CP012,National Westminster Bank plc,BANK,GB,213800LGEAHA4CMLKW07,false,false
CP013,Sanctions Target Corp,CORPORATE,IR,,true,false
CP014,PEP Holdings Ltd,CORPORATE,NG,,false,true
CP015,Barclays Bank plc,BANK,GB,G5GSEF7VJP5I7OUK5573,false,false
CP016,Citigroup Inc,BANK,US,6SHGI4ZSSLCXXQSBB395,false,false
CP017,UBS Group AG,BANK,CH,549300SZJ9VS8SGXAN81,false,false
CP018,Goldman Sachs Group Inc,BANK,US,784F5XWPLTWKTBV3E584,false,false
CP019,Royal Mail Group Ltd,CORPORATE,GB,213800KOB5FVYJ98RL17,false,false
CP020,Unilever plc,CORPORATE,GB,549300MKFYEKVRWML317,false,false
