transaction_id,account_id,transaction_date,amount,currency,transaction_type,counterparty_id,description,channel,etl_loaded_ts
TXN0001,ACC001,2024-01-02,2500.00,GBP,CREDIT,,SALARY - BARCLAYS CORPORATE,BACS,2024-01-15 06:00:00
TXN0002,ACC001,2024-01-03,45.99,GBP,DEBIT,CP003,TESCO STORES 2345,POS,2024-01-15 06:00:00
TXN0003,ACC001,2024-01-03,3.50,GBP,DEBIT,,TFL TRAVEL CHARGE,POS,2024-01-15 06:00:00
TXN0004,ACC001,2024-01-05,800.00,GBP,TRANSFER_OUT,,TRANSFER TO SAVINGS,ONLINE,2024-01-15 06:00:00
TXN0005,ACC002,2024-01-05,800.00,GBP,TRANSFER_IN,,TRANSFER FROM CURRENT,ONLINE,2024-01-15 06:00:00
TXN0006,ACC001,2024-01-07,120.00,GBP,DEBIT,,BRITISH GAS ENERGY,BACS,2024-01-15 06:00:00
TXN0007,ACC003,2024-01-02,1850.00,GBP,CREDIT,,SALARY - NHS TRUST,BACS,2024-01-15 06:00:00
TXN0008,ACC003,2024-01-04,67.50,GBP,DEBIT,CP003,SAINSBURY'S 1234,POS,2024-01-15 06:00:00
TXN0009,ACC003,2024-01-06,500.00,GBP,DEBIT,,RENT PAYMENT,BACS,2024-01-15 06:00:00
TXN0010,ACC004,2024-01-02,5000.00,GBP,CREDIT,,INVESTMENT RETURN,CHAPS,2024-01-15 06:00:00
TXN0011,ACC004,2024-01-08,15000.00,GBP,TRANSFER_OUT,CP001,WIRE TO HSBC HOLDINGS,CHAPS,2024-01-15 06:00:00
TXN0012,ACC008,2024-01-02,12000.00,GBP,CREDIT,,CORP SALARY - DELOITTE,BACS,2024-01-15 06:00:00
TXN0013,ACC008,2024-01-03,250.00,GBP,DEBIT,,COUNCIL TAX - WESTMINSTER,BACS,2024-01-15 06:00:00
TXN0014,ACC008,2024-01-05,89.99,GBP,DEBIT,CP003,AMAZON UK MARKETPLACE,ONLINE,2024-01-15 06:00:00
TXN0015,ACC010,2024-01-02,2200.00,GBP,CREDIT,,SALARY - GOOGLE UK,BACS,2024-01-15 06:00:00
TXN0016,ACC010,2024-01-04,55.00,GBP,DEBIT,,NETFLIX SUBSCRIPTION,ONLINE,2024-01-15 06:00:00
TXN0017,ACC010,2024-01-06,32.50,GBP,DEBIT,CP003,WAGAMAMA LONDON,POS,2024-01-15 06:00:00
TXN0018,ACC013,2024-01-02,1950.00,GBP,CREDIT,,SALARY - UNILEVER,BACS,2024-01-15 06:00:00
TXN0019,ACC013,2024-01-03,75.00,GBP,DEBIT,,GYM MEMBERSHIP,BACS,2024-01-15 06:00:00
TXN0020,ACC013,2024-01-07,200.00,GBP,DEBIT,,JOHN LEWIS PARTNERSHIP,POS,2024-01-15 06:00:00
TXN0021,ACC015,2024-01-02,8500.00,USD,CREDIT,,WIRE FROM SHANGHAI CORP,CHAPS,2024-01-15 06:00:00
TXN0022,ACC015,2024-01-05,3000.00,USD,TRANSFER_OUT,CP005,WIRE TO BANK OF CHINA,CHAPS,2024-01-15 06:00:00
TXN0023,ACC017,2024-01-02,3500.00,GBP,CREDIT,,PENSION - AVIVA,BACS,2024-01-15 06:00:00
TXN0024,ACC017,2024-01-04,150.00,GBP,DEBIT,,WAITROSE GROCERIES,POS,2024-01-15 06:00:00
TXN0025,ACC017,2024-01-06,45.00,GBP,DEBIT,,BP FUEL STATION,POS,2024-01-15 06:00:00
TXN0026,ACC020,2024-01-02,1600.00,GBP,CREDIT,,SALARY - BT GROUP,BACS,2024-01-15 06:00:00
TXN0027,ACC020,2024-01-05,9500.00,GBP,DEBIT,,OVERSEAS TRANSFER,ONLINE,2024-01-15 06:00:00
TXN0028,ACC020,2024-01-05,9400.00,GBP,DEBIT,,OVERSEAS TRANSFER 2,ONLINE,2024-01-15 06:00:00
TXN0029,ACC020,2024-01-05,9300.00,GBP,DEBIT,,OVERSEAS TRANSFER 3,ONLINE,2024-01-15 06:00:00
TXN0030,ACC023,2024-01-08,25000.00,GBP,CREDIT,CP004,TRADE FINANCE RECEIPT,CHAPS,2024-01-15 06:00:00
TXN0031,ACC001,2024-01-10,40.00,GBP,DEBIT,,UBER TRIP,MOBILE,2024-01-15 06:00:00
TXN0032,ACC001,2024-01-12,15.99,GBP,DEBIT,,SPOTIFY PREMIUM,ONLINE,2024-01-15 06:00:00
TXN0033,ACC003,2024-01-10,28.50,GBP,DEBIT,,PRET A MANGER,POS,2024-01-15 06:00:00
TXN0034,ACC003,2024-01-12,200.00,GBP,DEBIT,,VODAFONE MONTHLY,BACS,2024-01-15 06:00:00
TXN0035,ACC008,2024-01-10,500.00,GBP,DEBIT,,HMRC SELF ASSESSMENT,ONLINE,2024-01-15 06:00:00
TXN0036,ACC010,2024-01-10,8.99,GBP,DEBIT,,COSTA COFFEE,POS,2024-01-15 06:00:00
TXN0037,ACC011,2024-01-03,150.00,GBP,DEBIT,,ASOS ONLINE,ONLINE,2024-01-15 06:00:00
TXN0038,ACC011,2024-01-08,2000.00,GBP,CREDIT,,CREDIT CARD PAYMENT,ONLINE,2024-01-15 06:00:00
TXN0039,ACC016,2024-01-02,500.00,GBP,DEBIT,CP006,TRANSFER TO UNKNOWN ACCT,ONLINE,2024-01-15 06:00:00
TXN0040,ACC016,2024-01-02,500.00,GBP,DEBIT,CP006,TRANSFER TO UNKNOWN ACCT 2,ONLINE,2024-01-15 06:00:00
